Date,Price,gold,inflation,crisis,economy,Biden,isPartial,Trump,Powell,Yellen,Putin,Xi Jinping,climate change,interest rates,recession,oil prices,GDP,stock market,trade war,unemployment,central bank,federal reserve,sanctions,crypto,blockchain,tax policy,debt ceiling,tariffs,geopolitics,renewable energy,housing market,real estate,forex,gold reserves,commodities,energy crisis,supply chain,inflation rate,economic growth,market crash,government bonds,quantitative easing,austerity,public debt,hedge fund,pension fund,private equity,venture capital,startups,IPO,mergers and acquisitions,dividends,share buybacks,stock options,investment banking,wealth management,asset management,financial crisis,credit risk,sovereign debt,fiscal policy,monetary policy,economic sanctions,globalization,deglobalization,foreign investment,inflation hedge,gold mining,commodity trading,investment strategies,currency exchange,dollar index,eurozone,Asian markets,BRICS,trade agreements,NAFTA,TPP,EU regulations,US-China relations,supply chain disruptions,pandemic,recovery,healthcare policy,pharmaceuticals,biotech,tech stocks,semiconductors,AI development,machine learning,cybersecurity,big data,cloud computing,5G technology,electric vehicles,renewable resources,solar power,wind energy,nuclear power,hydropower,carbon emissions,green energy,environmental policy,climate finance,sustainable investing,social impact,corporate governance,ESG investing,shareholder activism,corporate responsibility,regulatory compliance,fintech,neobanks,digital wallets,cryptocurrency exchange,NFTs,blockchain technology,smart contracts,decentralized finance,metaverse,virtual reality,augmented reality,technology adoption,consumer behavior,retail sales,e-commerce,online marketplaces,logistics,freight rates,ocean shipping,air freight,rail transport,automotive industry,supply chain management,industrial production,factory automation,robotics,IoT,industrial IoT,smart cities,urbanization,population growth,demographics,aging population,healthcare spending,education funding,student debt,workforce development,labor market,minimum wage,income inequality,wealth gap,tax reforms,corporate tax,inheritance tax,offshore accounts,wealth redistribution,public policy,campaign finance,election outcomes,political stability,international relations,defense spending,military conflict,peace treaties,diplomacy,human rights,UN policies,World Bank,IMF,OECD,global trade,WTO,OPEC,energy markets,commodity futures,options trading,derivatives,risk management,portfolio optimization,quantitative finance,behavioral finance,market psychology,investor sentiment,trading volume,market trends,technical analysis,fundamental analysis,earnings reports,quarterly results,corporate strategy,management changes,board decisions,mergers,spin-offs,divestitures,joint ventures,strategic alliances,competitive advantage,market share,brand value,consumer loyalty,product innovation,R&D spending,patent filings,intellectual property,trademark disputes,legal risks,litigation,compliance risks,cyber risks,data breaches,privacy concerns,ethical considerations,corporate ethics,whistleblowing,regulatory scrutiny,audit reports,transparency,accounting standards,financial reporting,investor communications,media influence
2024-11-06,77030,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
2024-11-05,78490,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
2024-11-04,78401,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
2024-11-01,78829,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
2024-10-31,78326,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
2024-10-30,79257,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
2024-10-29,78865,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
2024-10-28,78159,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
2024-10-25,78009,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
2024-10-24,77872,71.0,3.0,3.0,5.0,8.0,False,58.0,1.0,0.0,2.0,0.0,11.0,14.0,3.0,2.0,19.0,8.0,0.0,5.0,2.0,1.0,2.0,54.0,6.0,1.0,0.0,8.0,1.0,4.0,2.0,61.0,75.0,1.0,9.0,1.0,35.0,68.0,40.0,24.0,10.0,3.0,8.0,5.0,22.0,19.0,61.0,3.0,4.0,49.0,0.0,6.0,0.0,21.0,36.0,53.0,87.0,27.0,36.0,2.0,41.0,57.0,2.0,37.0,0.0,11.0,1.0,6.0,2.0,2.0,36.0,5.0,1.0,1.0,29.0,1.0,16.0,1.0,0.0,0.0,0.0,3.0,72.0,1.0,8.0,7.0,0.0,6.0,10.0,94.0,57.0,31.0,49.0,2.0,23.0,14.0,70.0,22.0,33.0,8.0,13.0,100.0,14.0,9.0,2.0,96.0,28.0,2.0,0.0,17.0,9.0,86.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,5.0,9.0,5.0,4.0,11.0,24.0,87.0,1.0,91.0,0.0,1.0,2.0,1.0,7.0,36.0,7.0,1.0,88.0,95.0,1.0,4.0,13.0,28.0,82.0,4.0,2.0,6.0,11.0,2.0,3.0,72.0,2.0,1.0,2.0,62.0,100.0,1.0,1.0,95.0,8.0,5.0,7.0,70.0,2.0,2.0,1.0,18.0,66.0,1.0,56.0,38.0,37.0,14.0,34.0,19.0,2.0,1.0,21.0,52.0,94.0,1.0,4.0,1.0,5.0,2.0,26.0,69.0,74.0,39.0,16.0,56.0,43.0,50.0,11.0,72.0,4.0,2.0,15.0,0.0,4.0,79.0,4.0,0.0,13.0,1.0,0.0,74.0,0.0,4.0,93.0,2.0,2.0,8.0,23.0,55.0,19.0,55.0,2.0,3.0,100.0,10.0,23.0,0.0,79.0
